date,r2_level_pct,r2_level_ML,r1_level_pct,r1_level_ML,pump_river_to_r1_ML_day,pump_r1_to_r2_ML_day,pump_r2_to_site_ML_day,demand_supplied_ML_day,r1_storage_change_ML,r2_storage_change_ML,is_original_measurement,has_r1_level,has_r2_level,has_river_pump,has_r1_r2_pump,has_r2_site_pump
2022-04-06,59.1451429739231,751.7347671985626,68.58839962176881,893.7068470716476,14.642857142857013,5.2000000000000455,7.227942857142937,7.227942857142937,41.525888442993164,-25.89158344268799,True,True,True,True,True,True
2022-04-13,58.944002856052734,749.1782763004303,74.6472187711931,972.6532605886459,22.600000000000104,5.2000000000000455,7.227942857142937,7.227942857142937,78.94641351699829,-2.556490898132324,True,True,True,True,True,True
2022-04-20,58.74332772006583,746.6276953220367,81.08199514614466,1056.4983967542648,24.985714285714234,8.512500000000045,6.54775,6.54775,83.8451361656189,-2.5505809783935547,True,True,True,True,True,True
2022-04-27,63.477566990676024,806.7998764514923,87.2441188152808,1136.7908681631088,21.34285714285722,8.857142857142858,4.339,4.339,80.292471408844,60.172181129455566,True,True,True,True,True,True
2022-05-04,64.53998839170515,820.3032524585724,89.0094460932365,1159.7930825948715,18.47142857142847,8.699999999999948,5.402428571428572,5.402428571428572,23.002214431762695,13.503376007080078,True,True,True,True,True,True
2022-05-11,68.91090558515019,875.8576099872589,87.49572477794482,1140.0692938566208,18.47142857142847,8.699999999999948,5.203714285714286,5.203714285714286,-19.723788738250732,55.55435752868652,True,True,True,True,True,True
2022-05-18,71.85774781777107,913.3119747638702,85.98200346265311,1120.34550511837,1.6124999999999545,7.8624999999999545,4.597857142857143,4.597857142857143,-19.723788738250732,37.45436477661133,True,True,True,True,True,True
2022-05-25,71.85774781777107,913.3119747638702,78.48155861713295,1022.6147087812424,0.0,6.471428571428468,4.301571428571429,4.301571428571429,-97.73079633712769,0.0,True,True,True,True,True,True
2022-06-01,71.85774781777107,913.3119747638702,71.6350879563063,933.4051960706711,0.0,6.257142857143013,4.922328571428545,4.922328571428545,-89.20951271057129,0.0,True,True,True,True,True,True
2022-06-08,71.85774781777107,913.3119747638702,65.53042272558966,853.8614081144333,0.29999999999992205,8.085714285714337,6.139257142857117,6.139257142857117,-79.5437879562378,0.0,True,True,True,True,True,True
2022-06-15,72.08792968212761,916.2375862598419,73.88938809941571,962.7787269353867,27.514285714285766,8.871428571428364,7.22480000000008,7.22480000000008,108.91731882095337,2.9256114959716797,True,True,True,True,True,True
2022-06-22,72.5498045832036,922.1080162525177,81.39537399032896,1060.5817230939865,24.242857142857115,9.171428571428676,6.467328571428545,6.467328571428545,97.80299615859985,5.870429992675781,True,True,True,True,True,True
2022-06-29,72.5498045832036,922.1080162525177,88.68782319934753,1155.6023362874985,25.485714285714362,8.585714285714337,7.083428571428572,7.083428571428572,95.02061319351196,0.0,True,True,True,True,True,True
2022-07-06,75.83975279828303,963.9232580661774,94.46625357303634,1230.8952840566635,19.11428571428574,7.942857142857195,4.774828571428545,4.774828571428545,75.29294776916504,41.81524181365967,True,True,True,True,True,True
2022-07-13,76.79815917011325,976.1046030521393,84.86795900239454,1105.8295058012009,0.0,9.071428571428571,5.584657142857223,5.584657142857223,-125.06577825546265,12.181344985961914,True,True,True,True,True,True
2022-07-20,77.76482889353996,988.3909752368927,79.36578769456946,1034.1362136602402,0.0,8.957142857142701,5.817842857142778,5.817842857142778,-71.6932921409607,12.286372184753418,True,True,True,True,True,True
2022-07-27,78.49527949146358,997.6750023365021,78.17215120801538,1018.5831302404404,0.0,9.199999999999948,6.023442857142937,6.023442857142937,-15.553083419799805,9.284027099609375,True,True,True,True,True,True
2022-08-03,78.73980428739198,1000.7829124927521,80.6126890874147,1050.3833388090134,29.828571428571454,8.0,5.698185714285687,5.698185714285687,31.800208568572998,3.10791015625,True,True,True,True,True,True
2022-08-10,78.49527949146358,997.6750023365021,83.06286409097,1082.309119105339,16.18571428571418,9.171428571428676,5.676828571428545,5.676828571428545,31.925780296325684,-3.10791015625,True,True,True,True,True,True
2022-08-17,79.72312729533125,1013.2809479236603,91.59200551046926,1193.4438318014145,24.557142857142804,9.11428571428561,6.753700000000053,6.753700000000053,111.13471269607544,15.605945587158203,True,True,True,True,True,True
2022-08-24,79.97026730484141,1016.4220974445343,95.11791471326158,1239.3864287137985,20.628571428571508,9.642857142857142,5.592742857142751,5.592742857142751,45.94259691238403,3.1411495208740234,True,True,True,True,True,True
2022-08-31,80.71484031121999,1025.885620355606,90.29867291359011,1176.5917080640793,6.128571428571377,8.785714285714286,5.9622000000000535,5.9622000000000535,-62.79472064971924,9.463522911071777,True,True,True,True,True,True
2022-09-07,80.96408418179684,1029.0535099506378,95.60710634530184,1245.7605956792831,20.31428571428569,8.900000000000157,5.6357571428572495,5.6357571428572495,69.16888761520386,3.1678895950317383,True,True,True,True,True,True
2022-09-14,81.21385606230008,1032.228110551834,97.07674777974373,1264.9100235700607,17.057142857142935,9.057142857142805,6.446014285714233,6.446014285714233,19.149427890777588,3.174600601196289,True,True,True,True,True,True
2022-09-21,80.71484031121999,1025.885620355606,95.44400161536767,1243.6353410482407,10.785714285714286,8.471428571428467,6.716857142857143,6.716857142857143,-21.27468252182007,-6.342490196228027,True,True,True,True,True,True
2022-09-28,80.4661232500354,1022.7244265079498,97.5672459382784,1271.3012145757675,18.58571428571434,9.0,6.335371428571376,6.335371428571376,27.665873527526855,-3.16119384765625,True,True,True,True,True,True
2022-10-05,80.71484031121999,1025.885620355606,97.89439758152936,1275.5640004873276,15.228571428571481,9.0,5.719857142857143,5.719857142857143,4.262785911560059,3.16119384765625,True,True,True,True,True,True
2022-10-12,80.96408418179684,1029.0535099506378,98.22166402433254,1279.828282237053,15.442857142857065,7.7999999999999545,6.005142857142857,6.005142857142857,4.264281749725342,3.1678895950317383,True,True,True,True,True,True
2022-10-19,79.97026730484141,1016.4220974445343,101.17113539921898,,19.757142857142885,9.057142857142805,6.703285714285714,6.703285714285714,38.43161201477051,-12.631412506103516,True,True,True,True,True,True
2022-10-26,80.4661232500354,1022.7244265079498,95.77025089095578,1247.8863691091537,3.557142857142805,6.928571428571429,5.743285714285714,5.743285714285714,-70.37352514266968,6.302329063415527,True,True,True,True,True,True
2022-11-02,79.47651176917844,1010.1464645862579,93.65270091127819,1220.2946928739548,10.528571428571533,7.857142857142857,6.857042857142964,6.857042857142964,-27.591676235198975,-12.577961921691895,True,True,True,True,True,True
2022-11-09,78.49527949146358,997.6750023365021,86.29960039443267,1124.4837931394577,3.2142857142857144,9.342857142857351,6.531571428571428,6.531571428571428,-95.81089973449707,-12.47146224975586,True,True,True,True,True,True
2022-11-16,77.28045845857106,982.2346270084381,78.94649987758714,1028.6728934049606,2.5714285714285716,8.899999999999896,7.001728571428518,7.001728571428518,-95.81089973449707,-15.440375328063965,True,True,True,True,True,True
2022-11-23,75.12634618370483,954.8558599948883,72.23336397457928,941.200732588768,0.0,5.628571428571377,6.786428571428572,6.786428571428572,-87.47216081619263,-27.378767013549805,True,True,True,True,True,True
2022-11-30,77.28045845857106,982.2346270084381,66.98604057316403,872.8281086683273,1.7857142857141557,8.0,6.001314285714179,6.001314285714179,-68.37262392044067,27.378767013549805,True,True,True,True,True,True
2022-12-07,77.28045845857106,982.2346270084381,62.13393144578268,809.6051267385483,3.1857142857143117,7.157142857142909,6.229771428571482,6.229771428571482,-63.22298192977905,0.0,True,True,True,True,True,True
2022-12-14,75.60143769021863,960.8942730426788,56.81224135554761,740.2635048627853,3.3714285714286234,8.685714285714182,7.259128571428625,7.259128571428625,-69.34162187576294,-21.340353965759277,True,True,True,True,True,True
2022-12-21,73.47961670765251,933.9259283542633,61.160365334859925,796.9195603132248,16.07142857142844,6.257142857143013,5.798871428571375,5.798871428571375,56.65605545043945,-26.968344688415527,True,True,True,True,True,True
2022-12-28,73.94756428563248,939.8735420703888,64.40257242068088,839.1655186414719,14.328571428571454,7.557142857142805,5.463714285714286,5.463714285714286,42.24595832824707,5.947613716125488,True,True,True,True,True,True
2023-01-04,73.71333647111942,936.8965065479279,64.47373034857094,840.0927064418793,9.814285714285818,6.785714285714286,7.31818571428582,7.31818571428582,0.9271878004074097,-2.9770355224609375,True,True,True,True,True,True
2023-01-11,85.24036458118238,1083.405033826828,64.544888276461,841.0198942422867,9.814285714285818,6.785714285714286,7.31818571428582,7.31818571428582,0.9271878004074097,146.50852727890015,False,True,True,True,True,True
